VesselName	ShipType	IMO	Built	DWT	Destination	ETA
HAMMONIA JUTLANDIA	CONTAINER SHIP	9358436	2006	44174	ALGECIRAS	13 March 2015 14:00
MSC ANTONIA	CONTAINER SHIP	8408832	1985	33863	GIOIA TAURO	13 March 2015 14:00
ALSTERDIJK	CONTAINER SHIP	9491484	2010	0	ARHUS	13 March 2015 14:00
OOCL ST PETERSBURG	CONTAINER SHIP	9315006	2005	10950	ANTWERP	13 March 2015 14:00
NEUENFELDE	CONTAINER SHIP	9231846	2001	11386	BREMERHAVEN	13 March 2015 13:00
SEA LAND RACER	CONTAINER SHIP	9116890	1996	59964	VALENCIA	13 March 2015 13:00
MSC LISA	CONTAINER SHIP	9281279	2004	55000	LONG BEACH	13 March 2015 13:00
HERMES SLB	CONTAINER SHIP	9504047	2009	0	ANTWERP	13 March 2015 13:00
OOCL MONTREAL	CONTAINER SHIP	9253739	2003	47828	ANTWERP	13 March 2015 13:00
COSCO HELLAS	CONTAINER SHIP	9308510	2006	101000	HAMBURG	13 March 2015 12:45
MSC KOREA	CONTAINER SHIP	9123154	1996	42938	PIRAEUS	13 March 2015 12:00
SUSAN BORCHARD	CONTAINER SHIP	9436197	2008	9300	BARCELONA	13 March 2015 12:00
MSC REGINA	CONTAINER SHIP	9202651	1999	56890	VALENCIA	13 March 2015 12:00
ANNE BORCHARD	CONTAINER SHIP	9365996	2008	0	BILBAO	13 March 2015 12:00
EDITH MAERSK	CONTAINER SHIP	9321548	2007	105750	ANTWERP	13 March 2015 12:00
COSCO NINGBO	CONTAINER SHIP	9305582	2006	101000	LE HAVRE	13 March 2015 11:00
HANJIN GERMANY	CONTAINER SHIP	9484924	2011	0	LONG BEACH	13 March 2015 11:00
RIO GRANDEEXPRESS	CONTAINER SHIP	9301823	2006	50500	GENOVA	13 March 2015 11:00
FRISIA BONN	CONTAINER SHIP	9470961	2009	0	ANTWERP	13 March 2015 10:00
MSC VIGO	CONTAINER SHIP	9480227	2011	0	TANGER	13 March 2015 10:00
BERLIN EXPRESS	CONTAINER SHIP	9229855	2003	100000	CAGLIARI	13 March 2015 10:00
OCEANEX AVALON	CONTAINER SHIP	9315044	2005	15000	ST JOHN	13 March 2015 10:00
CHACABUCO	CONTAINER SHIP	9295957	2006	67970	BUENOS AIRES	13 March 2015 10:00
KARIN SCHEPERS	CONTAINER SHIP	9404077	2007	9400	ROTTERDAM	13 March 2015 10:00
BG ROTTERDAM	CONTAINER SHIP	9395575	2009	10500	FELIXSTOWE	13 March 2015 07:00
ARNARFELL	CONTAINER SHIP	9306005	2005	11200	ARHUS	13 March 2015 07:00
OPDR CADIZ	CONTAINER SHIP	9216858	2003	7900	LISBOA	13 March 2015 07:00
ANIKA OLTMANN	CONTAINER SHIP	9138288	1998	34017	ALGECIRAS	13 March 2015 06:30
WEC MAJORELLE	CONTAINER SHIP	9134153	1996	7223	VALENCIA	13 March 2015 06:00
DINAH BORCHARD	CONTAINER SHIP	9318929	2005	8330	LIMASSOL	13 March 2015 06:00
LISA	CONTAINER SHIP	9287704	2003	8700	DUNKERQUE	13 March 2015 06:00
DANIEL	CONTAINER SHIP	9326988	2006	11200	ORAN	13 March 2015 06:00
SOUTHERN TRADER	CONTAINER SHIP	9167459	1998	13058	AUCKLAND	13 March 2015 06:00
PETKUM	CONTAINER SHIP	9386988	2008	17200	BREMERHAVEN	13 March 2015 06:00
MARNEDIJK	CONTAINER SHIP	9339026	2006	8400	BILBAO	13 March 2015 06:00
RAGNA	CONTAINER SHIP	9173329	1998	5202	HAMBURG	13 March 2015 06:00
JPO LIBRA	CONTAINER SHIP	9297840	2005	52450	AUCKLAND	13 March 2015 05:30
MSC ATLANTA	CONTAINER SHIP	9345972	2008	52000	FELIXSTOWE	13 March 2015 05:00
FLOTTBEK	CONTAINER SHIP	9313216	2005	22000	GDANSK	13 March 2015 05:00
HANSA LIMBURG	CONTAINER SHIP	9323481	2006	23580	GENOVA	13 March 2015 05:00
EMS TRADER	CONTAINER SHIP	9213105	2000	34600	CASABLANCA	13 March 2015 04:30
CHARLESTON EXPRESS	CONTAINER SHIP	9243162	2002	39000	SOUTHAMPTON	13 March 2015 04:00
CAPUCINE	CONTAINER SHIP	9539066	0	0	HARWICH	13 March 2015 03:45
AS PATRIA	CONTAINER SHIP	9294525	2006	33400	ENSENADA	13 March 2015 03:00
MSC DYMPHNA	CONTAINER SHIP	9110391	1996	68363	LIMASSOL	13 March 2015 03:00
HYUNDAI SMART	CONTAINER SHIP	9475686	2011	0	SOUTHAMPTON	13 March 2015 03:00
CMA CGM LAVENDER	CONTAINER SHIP	9314973	2006	39000	MARSAXLOKK	13 March 2015 03:00
MSC VIDHI	CONTAINER SHIP	9238739	2001	67700	SINES	13 March 2015 02:00
CAP HARRISSON	CONTAINER SHIP	9440796	2009	59000	FELIXSTOWE	13 March 2015 02:00
HORIZON KODIAK	CONTAINER SHIP	8419166	1987	21345	TACOMA	13 March 2015 02:00
PUELCHE	CONTAINER SHIP	9306287	2007	81243	BARCELONA	13 March 2015 02:00
KATHARINA B	CONTAINER SHIP	9121869	1997	5865	ROTTERDAM	13 March 2015 01:00
CONMAR ISLAND	CONTAINER SHIP	9360996	2008	10500	HAMBURG	13 March 2015 01:00
MSC LIESELOTTE	CONTAINER SHIP	8201674	1983	21370	ANTWERP	13 March 2015 00:59
HELMUT	CONTAINER SHIP	9354466	2006	11400	HELSINGBORG	12 March 2015 23:00
MSC CRISTINA	CONTAINER SHIP	9465241	2010	0	HAMBURG	12 March 2015 23:00
MSC SAMANTHA	CONTAINER SHIP	9110377	1996	68363	VALENCIA	12 March 2015 23:00
PHILADELPHIA EXPRESS	CONTAINER SHIP	9243203	2003	39000	CHARLESTON	12 March 2015 23:00
HERCULES J	CONTAINER SHIP	9430193	2009	0	BREMERHAVEN	12 March 2015 22:00
HORIZON PACIFIC	CONTAINER SHIP	7617890	1979	31268	HONOLULU	12 March 2015 22:00
SAFMARINE MAKUTU	CONTAINER SHIP	9318319	2007	50415	MELBOURNE	12 March 2015 22:00
MSC AMY	CONTAINER SHIP	9242651	2002	22300	BREMERHAVEN	12 March 2015 22:00
CORONA J	CONTAINER SHIP	9238686	2002	16794	ROUEN	12 March 2015 22:00
ANNE SIBUM	CONTAINER SHIP	9396696	2007	13200	FELIXSTOWE	12 March 2015 22:00
MAERSK SAVANNAH	CONTAINER SHIP	9352028	2008	102000	TANGER	12 March 2015 21:30
LINDA	CONTAINER SHIP	9354325	2007	11200	GHENT (GENT)	12 March 2015 21:00
BFP GALAXY	CONTAINER SHIP	9130327	1997	14000	ANNABA	12 March 2015 21:00
ANTWERP BRIDGE	CONTAINER SHIP	9297527	2005	67170	FREMANTLE	12 March 2015 20:00
YM ANTWERP	CONTAINER SHIP	9443580	0	0	BRISBANE	12 March 2015 20:00
X-PRESS MULHACEN	CONTAINER SHIP	9365960	2008	9500	VALENCIA	12 March 2015 19:00
PERLA	CONTAINER SHIP	9374129	2007	13760	BELAWAN	12 March 2015 19:00
MSC ROMANOS	CONTAINER SHIP	9275634	2003	55000	ANTWERP	12 March 2015 19:00
MARFRET GUYANE	CONTAINER SHIP	9362334	2007	20000	ROTTERDAM	12 March 2015 19:00
ADRIAN MAERSK	CONTAINER SHIP	9260457	2004	105750	CHARLESTON	12 March 2015 19:00
LONGAVI	CONTAINER SHIP	9294836	2006	51870	MELBOURNE	12 March 2015 18:30
CONTAINERSHIPS VII	CONTAINER SHIP	9250098	2002	13650	ROTTERDAM	12 March 2015 18:30
VERITAS H	CONTAINER SHIP	9138745	1995	3950	AVONMOUTH	12 March 2015 18:15
CSCL SATURN	CONTAINER SHIP	9467299	2012	0	SUEZ CANAL	12 March 2015 18:00
